label,hand_mode,recorded_hand,R.Thumb,R.Index,R.Middle,R.Ring,R.Pinky,L.Thumb,L.Index,L.Middle,L.Ring,L.Pinky,aX1,aY1,aZ1,gX1,gY1,gZ1,aX2,aY2,aZ2,gX2,gY2,gZ2
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5590,0.6640,-0.9960,0.2810,-0.5090,0.8740,12.1376,-4.9531,-13.7820,0.8471,-0.5203,1.1357
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4600,0.5230,-0.7770,0.2520,-0.5000,0.8640,29.9176,-29.3031,-7.6520,0.6271,0.3697,1.7357
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3910,0.4090,-0.6400,0.2660,-0.5240,0.8800,23.6276,-28.5731,4.4380,0.5971,1.1797,2.3357
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2970,0.3390,-0.5880,0.2660,-0.5040,0.8820,0.3776,-24.2531,7.4680,-0.5129,1.6497,1.9857
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2640,0.3420,-0.6160,0.2460,-0.4950,0.8760,-10.4724,10.0669,6.5680,0.5671,-0.9603,-0.1043
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3140,0.4470,-0.7220,0.2780,-0.4940,0.8950,-26.3124,28.8269,-0.3220,0.6471,-2.7903,-3.1043
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4410,0.5590,-0.8850,0.2560,-0.4900,0.8750,-23.5724,29.6269,3.5080,-2.6829,-0.4503,-1.1743
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6060,0.7450,-1.1140,0.2750,-0.5100,0.8880,2.2376,18.5069,2.8780,-0.9429,-0.4903,0.5257
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5620,0.6060,-1.0280,0.2680,-0.5160,0.8630,13.9876,-18.8831,-14.3720,0.5171,0.9597,2.5857
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4590,0.4770,-0.7820,0.2630,-0.4920,0.9070,30.5676,-22.4931,-7.0120,-1.4129,0.0797,1.3557
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3680,0.3650,-0.6110,0.2700,-0.5260,0.8890,20.1276,-21.6031,2.5680,1.6871,1.4397,3.1557
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3250,0.3360,-0.5960,0.2680,-0.4990,0.8810,3.0576,-7.1631,6.2480,-0.2329,1.3397,2.6657
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2720,0.3980,-0.6240,0.2710,-0.4920,0.8690,-12.6024,19.0769,4.8580,-0.9029,-2.0903,-2.2243
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3200,0.4740,-0.7090,0.2710,-0.5140,0.8890,-27.8124,31.8169,0.5580,-1.0329,-2.4703,-0.2543
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4250,0.6090,-0.8580,0.2760,-0.5010,0.8800,-18.2224,37.1869,3.8280,-1.7129,-2.0903,-0.4443
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5930,0.6330,-1.0310,0.2800,-0.4920,0.8990,-5.2524,19.8469,0.7280,0.3671,-1.8003,-0.7743
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5880,0.6720,-1.0060,0.2600,-0.4980,0.8660,13.5476,1.2169,-10.4520,-0.5429,-0.0403,1.5357
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5220,0.5070,-0.8220,0.2790,-0.5180,0.8830,23.1076,-21.1031,-10.2520,-1.1029,-1.0103,0.2857
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4260,0.4200,-0.6600,0.2540,-0.5060,0.8860,20.6276,-22.7731,-3.8220,1.7271,0.3697,1.0257
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3590,0.3570,-0.5950,0.2670,-0.5170,0.8600,9.1876,-9.6031,7.0880,1.5171,1.7097,2.5557
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3170,0.3480,-0.6290,0.2660,-0.5020,0.8790,-8.9724,12.1869,4.3080,0.9871,-0.8303,-0.5343
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3370,0.4710,-0.6860,0.2700,-0.4860,0.8850,-21.7224,25.3269,4.0480,0.5871,-1.6403,-2.0643
GOOD,either_hand,right,0.0000,0.9873,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3360,0.4360,-0.6300,0.2590,-0.4950,0.8710,-1.7324,-14.5831,2.9880,0.2371,0.8797,0.8857
GOOD,either_hand,right,0.0000,0.9873,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3210,0.4480,-0.6660,0.2620,-0.5160,0.8820,-9.9424,1.6469,3.2180,0.4971,-1.4103,0.1457
GOOD,either_hand,right,0.0000,0.9698,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4400,0.4650,-0.8500,0.2730,-0.5110,0.8850,-7.5324,18.1269,4.7580,0.0471,-1.6503,-0.8943
GOOD,either_hand,right,0.0000,0.9786,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5050,0.6480,-0.9870,0.2720,-0.4960,0.8770,1.4276,18.5669,3.5180,0.0971,-1.8303,0.1357
GOOD,either_hand,right,0.0000,0.9786,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4980,0.6200,-0.9390,0.2730,-0.5150,0.8790,8.4476,-8.2531,-3.4120,0.3271,-0.7303,0.8557
GOOD,either_hand,right,0.0000,0.9698,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4310,0.5300,-0.7740,0.2690,-0.5010,0.8820,15.9776,-24.3431,-2.8220,-0.0329,0.0597,0.9557
GOOD,either_hand,right,0.0000,0.9786,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3350,0.4390,-0.6370,0.2670,-0.4850,0.8670,12.0176,-21.5831,5.1180,1.2471,2.4397,2.7457
GOOD,either_hand,right,0.0000,0.9698,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3000,0.4020,-0.6070,0.2710,-0.5010,0.8860,-2.2524,-7.5531,5.6380,0.8371,-0.7803,0.9657
GOOD,either_hand,right,0.0000,0.9698,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2800,0.4470,-0.6460,0.2690,-0.5030,0.8760,-12.5524,18.2469,1.9380,0.6471,-1.9003,-0.6443
GOOD,either_hand,right,0.0000,0.9786,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3920,0.5110,-0.8050,0.2740,-0.5040,0.8810,-14.2824,30.1369,3.3680,0.2371,-2.9403,-1.3343
GOOD,either_hand,right,0.0000,0.9786,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5270,0.6700,-0.9890,0.2720,-0.5200,0.8880,-9.4124,18.8469,2.3080,1.5471,-3.0103,-1.1943
GOOD,either_hand,right,0.0000,0.9698,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5320,0.6500,-0.9860,0.2750,-0.4870,0.8690,8.0976,-3.5431,-5.6720,0.1971,1.0097,1.6657
GOOD,either_hand,right,0.0000,0.9698,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4570,0.5410,-0.8260,0.2710,-0.5040,0.8890,21.9976,-19.2731,-5.8820,-0.0029,-0.7503,1.5457
GOOD,either_hand,right,0.0000,0.9698,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3630,0.4470,-0.6450,0.2670,-0.5250,0.8890,14.0376,-21.2831,0.6580,0.9171,0.3897,1.1657
